time,open,high,low,close,volume
1767002400,1.17764,1.17802,1.17555,1.17698,23932
1767016800,1.17698,1.17888,1.17494,1.17521,32111
1767031200,1.17519,1.17748,1.17508,1.17726,10862
1767045600,1.1771,1.17754,1.17663,1.17751,10895
1767060000,1.1775,1.17791,1.17706,1.17752,7239
1767074400,1.17752,1.17798,1.17644,1.1769,16480
1767088800,1.17688,1.17776,1.17554,1.17633,19348
1767103200,1.17634,1.17668,1.17453,1.1756,23602
1767117600,1.17561,1.17594,1.17434,1.1748,10689
1767132000,1.17466,1.17492,1.17419,1.17426,5701
1767146400,1.17424,1.17436,1.1733,1.17385,8766
1767160800,1.17386,1.17398,1.172,1.17351,17372
1767175200,1.1735,1.17595,1.17286,1.1742,22034
1767189600,1.1742,1.17488,1.17202,1.1736,33067
1767204000,1.1736,1.1753,1.17304,1.17459,11277
1767304800,1.17498,1.17628,1.17458,1.1761,6048
1767319200,1.1761,1.1765,1.17508,1.17513,6243
1767333600,1.17512,1.17516,1.17206,1.17214,20345
1767348000,1.17214,1.1729,1.17132,1.17215,19041
1767362400,1.17217,1.17545,1.17158,1.17308,27378
1767376800,1.17308,1.17314,1.17144,1.17196,14303
1767564000,1.17239,1.17239,1.16996,1.17004,15463
1767578400,1.17004,1.17016,1.16722,1.16855,14754
1767592800,1.16856,1.1695,1.16739,1.16825,22992
1767607200,1.16823,1.1691,1.16592,1.16746,25703
1767621600,1.16746,1.17198,1.16733,1.17144,33824
1767636000,1.17145,1.17288,1.17134,1.17216,12320
1767650400,1.17206,1.17254,1.17106,1.17254,9421
1767664800,1.17256,1.17384,1.17222,1.17288,11199
1767679200,1.1729,1.17429,1.1708,1.17133,21537
1767693600,1.17132,1.17172,1.16972,1.1711,21919
1767708000,1.1711,1.17176,1.1684,1.17007,30326
1767722400,1.17008,1.17022,1.1684,1.16888,14577
1767736800,1.16865,1.17006,1.16852,1.16958,10242
1767751200,1.16958,1.17027,1.16909,1.16931,11836
